# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=od,Ørd
	ICON=Icons/canadian-english.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_NS=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_PS4=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_PS4=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_XB1=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_XB1=
		Ikke tar fra konsollet
		na ka sjar denne ikon
	AUTOSAVING_TITLE_PC=
		Denne spillet har Selvrænvakkinger
	AUTOSAVING_DESC_PC=
		Ike tar fra masjinet
		na ka sjar denne ikon

# Main Menu
	MENU_DEBUG=		~FRABUGG~
	OPTIONS_LANGUAGE=		Språk
	OPTIONS_ON=				TRO
	OPTIONS_OFF=			FRA

# KEYBOARD CONFIG
	KEY_CONFIG_TITLE=		Þrykkebord Vœlginger
	KEY_CONFIG_GAMEPLAY=	SPILLELEKING
	KEY_CONFIG_LEFT=		Venstre
	KEY_CONFIG_RIGHT=		Høyre
	KEY_CONFIG_UP=			Opp
	KEY_CONFIG_DOWN=		Rænt
	KEY_CONFIG_JUMP=		Hopper
	KEY_CONFIG_DASH=		Strikker
	KEY_CONFIG_GRAB=		Gripper
	KEY_CONFIG_TALK=		Sier
	KEY_CONFIG_MENUS=		MENY
	KEY_CONFIG_CONFIRM=		Bœkrefter
	KEY_CONFIG_CANCEL=		Frakutter
	KEY_CONFIG_PAUSE=		Sliter
	KEY_CONFIG_JOURNAL=		Fohtbok
	KEY_CONFIG_QUICKRESTART=Quick Enabegynner
	KEY_CONFIG_RESET=		Enalejer Alle
	KEY_CONFIG_CHANGING=	ÞRYKKER FER
	KEY_CONFIG_MOVE_ONLY=	FER NUR DŒGÅING
	KEY_CONFIG_DASH_ONLY=	FOR NUR STRIKKING

# CONTROLLER CONFIG
	BTN_CONFIG_TITLE=		Kontrollenær Vœlginger
	BTN_CONFIG_INFO=		ÞRYKKER | FER LEJER TRO NAPP, | FER RIÞJER NAPPER
	BTN_CONFIG_CHANGING=	ÞRYKKER NAPP FER
	BTN_CONFIG_NOCONTROLLER=Œgi Fœster Kontrollenær

# ADDITIONAL OPTIONS FOR V1.4.0.0
	KEY_CONFIG_DEMO=		Krøkestrikker
	KEY_CONFIG_ADVANCED=	HØYNIVÅ
	KEY_CONFIG_MENU_NOTICE= HVER ÞING ÞRYNGER MINST 1 SELVIG NAPP

# PICO-8
	PICO8_UNLOCKED=			Na lekebar add Hovtmenyet
	PICO8_PAUSE_TITLE=		SLITTET
	PICO8_PAUSE_CONTINUE=	Fremsetter
	PICO8_PAUSE_RESTART=	Enalejer PICO-8
	PICO8_PAUSE_QUIT=		Later PICO-8

# FILE MENU
	FILE_DEFAULT=		Madeline
	FILE_CORRUPTED=		Dœhliktet :(
	FILE_FAILEDTOLOAD=	Feiler Laster
	FILE_NEWGAME=		Begynner Ny Spill!
	FILE_CONTINUE=		Fremsetter
	FILE_DELETE=		Sletter
	FILE_BEGIN=			Begynner
	FILE_ASSIST_OFF=	Hjelpeham : FRA
	FILE_ASSIST_ON=		Hjelpeham : TRO
	FILE_VARIANT_OFF=	Munsomigham : FRA
	FILE_VARIANT_ON=	Munsomigham : TRO
	FILE_RENAME=		Œnner Navn
	FILE_DELETE_REALLY=	Trœstsomlig?
	FILE_DELETE_NO=		Frakutter
	FILE_DELETE_YES=	Sletter
	FILE_DELETE_FAILED=	Feiler Sletter Fil!

# Assist Mode
	ASSIST_MODE_0=
		{# 44adf7}Hjelpeham{#} trogår du aþdor{n}
		spillelohvene fer passer dytt þryngingene.		
	ASSIST_MODE_1=
		Denne har vœlginger tæn dœstortider spillfœri,{n}
		gaver sin itøttebarhet ur œvig forhaldighet,{n}
		e hopper over hœlle kafler.
	ASSIST_MODE_2=
		Celeste beda yr bjoþesom e lønnesom hjering.{n}
		Vi et staþal spillet yr iresjebar fer du, jor håpster{n} 
		du ka bliviglig finner det hjeringet vœd {# 44adf7}Hjelpeham{#}.
	ASSIST_ASK=		Sågœ leker du vœd {# 44adf7}Hjelpeham{#}?
	ASSIST_YES=		Ja
	ASSIST_NO=		Ike
	ASSIST_SKIP=	Hjelpe{n}Hopper

# File Naming
	NAME_LETTERS=
		ABCDEFGHI abcdefghi
		JKLMNOPQR jklmnopqr
		STUVWXYZ  stuvwxyz
		1234567890+=:~!@$%
		^&*_-#"'()<>/\.,|`

	NAME_SPACE=			mellomrom
	NAME_BACKSPACE=		baktar
	NAME_ACCEPT=		INNTAR
	NAME_BACK=			FRAKUTTER

# Xbox One Stuff
	XB1_MENU_SWITCH_PROFILE=	Œnner Profil
	XB1_SIGN_OUT_MESSAGE=		Profilœnning hjytt. Œgi søgner inn ur later tro hovtskjerm.
	XB1_SIGN_IN=				Søgner-inn
	XB1_RECONNECT_CONTROLLER=	Œgi enafœster Kontrollenær fer fremsetter.

# Intro Vignette
	INTRO_VIGNETTE_RESUME=	Fremsetter
	INTRO_VIGNETTE_SKIP=	Hopper
	INTRO_VIGNETTE_QUIT=	Later

# Overworld
	OVERWORLD_START=			Begynner
	OVERWORLD_NORMAL=			KLATRER
	OVERWORLD_INTERLUDE=		BEGYNNER
	OVERWORLD_REMIX=			B-SID
	OVERWORLD_REMIX2=			C-SID
	OVERWORLD_REMIX_UNLOCKED=	B-Sid Unnlåset!
	OVERWORLD_REMIX_UNLOCKED2=	C-Sid Unnlåset!

# Chapter Titles
	AREA_CHAPTER=	Kafle {x}
	AREA_0=			Prolog
	AREA_1=			Forlattet Jørne
	AREA_2=			Gam Utning
	AREA_3=			Sterig Vileutning
	AREA_4=			Gullfjellkant
	AREA_5=			Spegelharå
	AREA_6=			Speglesjaring
	AREA_7=			Fjelltoppet
	AREA_8=			Epilog
	AREA_9=			Hjert
	AREA_10=		Farvel

# Checkpoints
	CHECKPOINT_1_0=		Veimøtne
	CHECKPOINT_1_1=		Klyft

	CHECKPOINT_2_0=		Mœllgåing
	CHECKPOINT_2_1=		Riset

	CHECKPOINT_3_0=		Stor Unnstahne
	CHECKPOINT_3_1=		Løftenær Høl
	CHECKPOINT_3_2=		Kønig Suite

	CHECKPOINT_4_0=		Magglak
	CHECKPOINT_4_1=		Gam Stihr
	CHECKPOINT_4_2=		Kliffansiht

	CHECKPOINT_5_0=		Fulræntner
	CHECKPOINT_5_1=		Dor Fra
	CHECKPOINT_5_2=		Forsjar Fer
	CHECKPOINT_5_3=		Redding

	CHECKPOINT_6_0=		Litsjœr
	CHECKPOINT_6_1=		Høler
	CHECKPOINT_6_2=		Speglesjaring
	CHECKPOINT_6_3=		Stejn Rænt
	CHECKPOINT_6_4=		Bœløsing

	CHECKPOINT_7_0=		500 M
	CHECKPOINT_7_1=		1000 M
	CHECKPOINT_7_2=		1500 M
	CHECKPOINT_7_3=		2000 M
	CHECKPOINT_7_4=		2500 M
	CHECKPOINT_7_5=		3000 M

	CHECKPOINT_8_0=		Uttro Hjertet
	CHECKPOINT_8_1=		Varm e Kald
	CHECKPOINT_8_2=		Hjert til Fjellet

	CHECKPOINT_9_0=		Nur Selv
	CHECKPOINT_9_1=		Sterkhovt
	CHECKPOINT_9_2=		Enavitet
	CHECKPOINT_9_3=		Hjerkant
	CHECKPOINT_9_4=		Vœlgesomhet
	CHECKPOINT_9_5=		Fulstabilhet
	CHECKPOINT_9_6=		Enalejer
	CHECKPOINT_9_7=		Farvel

# B-Side Checkpoints
	CHECKPOINT_1H_0=	Masjin
	CHECKPOINT_1H_1=	Delhøl

	CHECKPOINT_2H_0=	Sammelåsenær
	CHECKPOINT_2H_1=	Drømmemagglak

	CHECKPOINT_3H_0=	Arbejþenær Rommer
	CHECKPOINT_3H_1=	Boklak
	CHECKPOINT_3H_2=	Topp

	CHECKPOINT_4H_0=	Steppestejner
	CHECKPOINT_4H_1=	Gupfsig Klyft
	CHECKPOINT_4H_2=	Øye til Stormet

	CHECKPOINT_5H_0=	Sœntrum Rom
	CHECKPOINT_5H_1=	Gœn Spegelet
	CHECKPOINT_5H_2=	Miksherrær

	CHECKPOINT_6H_0=	Speglesjaring
	CHECKPOINT_6H_1=	Stejn Rænt
	CHECKPOINT_6H_2=	Viler

	CHECKPOINT_7H_0=	500 M
	CHECKPOINT_7H_1=	1000 M
	CHECKPOINT_7H_2=	1500 M
	CHECKPOINT_7H_3=	2000 M
	CHECKPOINT_7H_4=	2500 M
	CHECKPOINT_7H_5=	3000 M

	CHECKPOINT_8H_0=	Uttro Hjertet
	CHECKPOINT_8H_1=	Tender ur Fryser
	CHECKPOINT_8H_2=	Hjertsjupte

# Postcards
	POSTCARD_AREA_1=
		Vœlger {#ff1144}Rænvakker e Later{#} ad slitmeny na enøn tid fer viler. Du skal fremsetter ad eta tænt skjermet eh verler ike enøn fremgåing!

	POSTCARD_AREA_2=
		{#ff1144}Jordbærer{#} skal dœlotner dytt vennene, ned det yr sud et. Nurlig hœnter det vi du riktlig sågœ har det!

	POSTCARD_AREA_3=
		Fyler stolt sud {#ff1144}Døringgang{#}!{n}Mer ganger sud du dør, mer du lerer.{n}Bliver går!

	POSTCARD_AREA_4=
		{# F94A4A}Klatrer Tip!{#}{n}Lav forhaldighet ad þrang utning?{n}{n}Hopper utfra vægger{n}brykker ike forhaldighet!

	POSTCARD_AREA_5=
		{# F94A4A}Viter du?{#}{n}Mest klatrefeiler{n}hjer fedra sovnighet.{n}{n}Enaviter tar vilinger!

	POSTCARD_AREA_6=
		{# F94A4A}Viter du?{#}{n}{n}Du ka ike fraløper{n}sint speglesjaringet.

	POSTCARD_CSIDES=
		Fremdyd fer riktig bjodde?{n}{n}{# F94A4A}C-Sider{#} yr unnlåset, e{n}{# dbb63f}Gulljordbærer{#} dokker opp{n}ad begynning til hver kafle!{n}{n}God hœggig, {+MADELINE}!

	POSTCARD_VARIANTS=
		Uaa, du dyd et!{n}{n}Na du ka finner {# 9B3FB5}Aþdåing{#} ad Filvœlgemenyet.

# Journal
	JOURNAL_OF=
	JOURNAL_PROGRESS=				FREMGÅING
	JOURNAL_SPEEDRUNS=				SØGNINGER:{n}TIDLØPER
	JOURNAL_DASHES=					SØGNINGER:{n}MINST STRIKKINGER
	JOURNAL_DEATHS=					SØGNINGER:{n}MINST DØRINGER
	JOURNAL_POEM=					GNISHJERTER
	JOURNAL_MODE_NORMAL=			FULDYD
	JOURNAL_MODE_NORMAL_FULLCLEAR=	HŒLFULDYD
	JOURNAL_MODE_BSIDE=				B-SID
	JOURNAL_MODE_CSIDE=				C-SID
	JOURNAL_TOTALS=					INNALLTER
	JOURNAL_GRANDTOTAL=				HØY INNALLT

# Stats
	STATS_TITLE=			Jørþig Steam Statter
	STAT_BERRIES=			Jordbærer
	STAT_DEATHS=			Døringer
	STAT_DASHES=			Strikkinger
	STAT_GOLDBERRIES=		Gulljordbærer
	STAT_PICO_BERRIES=		PICO-8 Jordbærer
	STAT_PICO_DEATHS=		PICO-8 Døringer
	STAT_PICO_COMPLETES=	PICO-8 Fuldoringer

# Saving / Loading Failed
	SAVEFAILED_TITLE=	KA IKE RÆNVAKKER
	SAVEFAILED_RETRY=	Prover Ena
	SAVEFAILED_IGNORE=	Fremsetter Ivœd Rænvakker
	LOADFAILED_TITLE=	KA IKE LASTER
	LOADFAILED_GOBACK=	Går Bak
	LOADFAILED_IGNORE=	Fremsetter Ivœd Rænvakker

# Tutorial
	TUTORIAL_CLIMB=		KLATRER
	TUTORIAL_HOLD=		GRIPPER
	TUTORIAL_DASH=		STRIKKER
	TUTORIAL_DREAMJUMP=	HOPPER
	TUTORIAL_CARRY=		HALDER

# Area Complete
	AREACOMPLETE_NORMAL=				Kafle Fuldyd
	AREACOMPLETE_NORMAL_FULLCLEAR=		Kafle Hœldyd
	AREACOMPLETE_BSIDE=					B-Sid Fuldyd
	AREACOMPLETE_CSIDE=					C-Sid Fuldyd
	MOUNTAIN_COMPLETE_NORMAL=			Fuldyd
	MOUNTAIN_COMPLETE_NORMAL_FULLCLEAR=	Hœldyd
	MOUNTAIN_COMPLETE_BSIDE=			B-Sid Fuldyd
	MOUNTAIN_COMPLETE_CSIDE=			C-Sid Fuldyd

# Game Paused
	MENU_PAUSE_TITLE=			SLITTET
	MENU_PAUSE_RESUME=			Fremsetter
	MENU_PAUSE_SKIP_CUTSCENE=	Hopper Kutthjering
	MENU_PAUSE_RETRY=			Enaprover
	MENU_PAUSE_ASSIST=			Hjelpevœlginger
	MENU_PAUSE_VARIANT=			Aþdåinger
	MENU_PAUSE_OPTIONS=			Vœlginger
	MENU_PAUSE_RESTARTAREA=		Enabegynner Kafle
	MENU_PAUSE_SAVEQUIT=		Rænvakker e Later
	MENU_PAUSE_RETURN=			Kommer Mapp
	MENU_PAUSE_RESTARTDEMO=		Enabegynner Demo
	MENU_RETURN_TITLE=			KOMMER MAPP?
	MENU_RETURN_CONTINUE=		Ja
	MENU_RETURN_CANCEL=			Frakutter
	MENU_RETURN_INFO=			Der Kommer Mapp skal rænvakker fremgåinget{n}
								ned du må enabegynner ad siþra vakkutning
	MENU_RESTART_TITLE=			ENABEGYNNER KAFLE?
	MENU_RESTART_CONTINUE=		Ja
	MENU_RESTART_CANCEL=		Frakutter

# Assist UI
	MENU_ASSIST_TITLE=					HJELPEHAM
	MENU_ASSIST_SUBTITLE=				Hjelper
	MENU_ASSIST_GAMESPEED=				Spillfœri
	MENU_ASSIST_INVINCIBLE=				Idreþebarhet
	MENU_ASSIST_AIR_DASHES=				Loftstrikker
	MENU_ASSIST_DASH_ASSIST=			Strikkehjelper
	MENU_ASSIST_AIR_DASHES_NORMAL=		Typa
	MENU_ASSIST_AIR_DASHES_TWO=			2
	MENU_ASSIST_AIR_DASHES_INFINITE=	Œvig
	MENU_ASSIST_INFINITE_STAMINA=		Œvig Forhaldighet

# Variant UI
	MENU_VARIANT_TITLE=					AÞDÅINGER
	MENU_VARIANT_SUBTITLE=				Aþdåinger
	MENU_VARIANT_MIRROR=				Spegelham
	MENU_VARIANT_360DASHING=			360 Strikker
	MENU_VARIANT_INVISMOTION=			Isjabar Dœgåing
	MENU_VARIANT_PLAYASBADELINE=		Blivig Selv
	MENU_VARIANT_NOGRABBING=			Gripper Ike
	MENU_VARIANT_LOWFRICTION=			Lav Friksjon
	MENU_VARIANT_SUPERDASHING=			Superstrikker
	MENU_VARIANT_HICCUPS=				Hikker

# Misc UI
	UI_CUTSCENE_SKIP=	Hopper
	UI_REMIX_UNLOCKED=	B-Sid Unnlåset
	UI_CANCEL=			Bak
	UI_CONFIRM=			Bœkrefter
	UI_QUICK_RESTART_TITLE=Småtid Enabegynner: 
	UI_QUICK_RESTART_HOLD=Halder
	UI_QUICK_RESTART_PRESS=Þrykker

# B SIDES
	REMIX_BY=			Musikk vœd
	REMIX_ALBUM=		Celeste B-Sider

	AREA_1_REMIX=		(Sever the Skyline Mix)
	AREA_2_REMIX=		(Black Moonrise Mix)
	AREA_3_REMIX=		(Good Karma Mix)
	AREA_4_REMIX=		(Golden Feather Mix)
	AREA_5_REMIX=		(Mirror Magic Mix)
	AREA_6_REMIX=		(Center of the Earth Mix)
	AREA_7_REMIX=		(No More Running Mix)
	AREA_9_REMIX=		(Say Goodbye Mix)

# Credits
	CREDITS_THANKYOU=	Takk fer leker :)

# Names
	THEO=				{# FF9523}Theo{#}
	THEO_UNDER_STARS=	{# FFFF4C}TheoUnderStars{#}
	MIXMASTER_THEO=		{# FF9523}Miksherrær Theo{#}
	MOM=				{# 339CC7}Mam{#}
	MROSHIRO=			{# 7BD838}M\. Oshiro{#}
	OSHIRO=				{# 7BD838}Oshiro{#}
	ELCREEPO=			{# 7BD838}El Creepo{#}
	MADELINE=			{# F94A4A}{savedata Name}{#}
	MS_MADELINE=		{# F94A4A}M\. {savedata Name}{#}
	RESORT=				{# b864be}Sterig Vileutning{#}
	THOUGHT=			{# 696a6a}{~}(
	ENDTHOUGHT=			){/~}{#}
	MOUNTAIN=			{# 96EFFF}Fjellet{#}
	CELESTE_MOUNTAIN=	{# 96EFFF}Fjellet Celeste{#}
	PART_OF_ME=			{# d678db}{~}Del til Jo{/~}{#}
	PART_OF_YOU=		{# d678db}{~}Del til Du{/~}{#}
	ST_BAD=				{# d678db}{~}
	END_BAD=			{/~}{#}
	GRANNY=				{# 66ea3a}Stormami{#}
	PART_OF_HER=		{# 66ea3a}{~}Del til Hœn{/~}{#}
	PART_OF_GRANNY=		{# 66ea3a}{~}Del til Stormami{/~}{#}

# Theo sister name
# if the player name is the same as this one, theo's sister name becomes the ALT_NAME
	THEO_SISTER_NAME=		Alex
	THEO_SISTER_ALT_NAME=	Maddy
	ALEX=					{# F94A4A}{savedata TheoSisterName}{#}

# ================================== IN-GAME DIALOG BEGINS HERE! ==================================

# *** Prologue ***

	CH0_INTRO=
		Yr denne, {+MADELINE}.
		Nurlig aþmer.
		Fervor fyler du så fikrit?

	CH0_GRANNY=
		{anchor top}

		[MADELINE left normal]
		Unnskyld, mensk?

		{trigger 0 Madeline walks forward}

		[MADELINE left normal]
		Kundet utfrem yr rœhtet...{n}yr denne eta {+mountain} stihlet?

		[GRANNY right normal]
		Du nærlig uter det.{n}Yr nurlig over broet.

		{trigger 1 Madeline walks to the right of the house, turns left}
		
		[MADELINE right sad]
		Neh eså, du beda ringer nøn sud dytt kjørveiet. Fjellkant fallet e jo nærlig dør.

		{trigger 2 Granny laughs}

		[GRANNY left laugh]
		Vi jott {>> 0.3}"kjørveiet"{>>}{0.2} nærlig dreþet du,{n} {+mountain} œgi yr for myke sud du.

		{trigger 3 Laugh Continues}

		[MADELINE right upset]
		{0.5}...{0.2}

		[MADELINE right angry]
		Neh, vi gam sprøenær tæn {~}du{/~} ka{n}forliver ad denne, tenker jo skal yr bra.

		{trigger 4 Stop laughing}

		[GRANNY left normal]
		Eh, har sint.

		{silent_trigger 5 Ominous zoom-in}

		[GRANNY left normal]
		Ned du beda viter,{n}{+CELESTE_MOUNTAIN} yr urþe utning.

		[GRANNY left creepA]
		Du œgi sjar þinger.

		[GRANNY left creepB]
		Þinger mœd du fremdyd ike fer sjar.

		{trigger 6 pan to Maddy}

		[MADELINE right upset]
		Du beda finner hjelp, mensk.

		{trigger 3 resume laughing}

	CH0_END=
		Du ka dor denne.

# *** Chapter 01 ***

	CH1_THEO_A=
		[THEO left normal]
		Hej det, vennig vandenær!

		[MADELINE right distracted]
		Eh... hej.

		{trigger 0 Madeline approaches}
		
		[THEO left normal]
		Så flott natt fer fjellfoht!

		[MADELINE right distracted]
		Gjetter det.

		[THEO left normal]
		Denne utninget yr såå galt. 

		[THEO left excited]
		Jo nærlig ka ike bœviter det etyr!

		[MADELINE right sad]
		Ike eta hœlgimest klatring, œga?

		[MADELINE right distracted]
		Ned gjetter det yr fer mœd jo forsjatt...
		
		[THEO left normal]
		Uåa, det virker mykelig alvarig.
		Jo nurlig fyler hyra fedra sjar{n}munsom mensk ad så œnsom utning.

		[THEO left excited]
		Jo heter {+ theo} ikår, vandenær fra {>> 0.3}{~}inær land!{/~}{>>}
		
		[MADELINE right sad]
		...{0.2}

		[THEO left thinking]
		Ike sier myke, œga?

		[THEO left normal]
		Lajndesom œnsom ulfur tip, jo sjar.{n}Jo nurlig inntenker nøn historie til du.

	CH1_THEO_B=
		[MADELINE right sad]
		Hej, fulga. Heter {+MADELINE}.
		Jo har myke utopp hovtet.

		[THEO left normal]
		Neh, {+MADELINE}, jo sågœ sier du går eta rikt utninget!

		[THEO left thinking]
		Jo fryser posene fra, ned jo ka ike inntenker{n}godmer utning fer lødløslig speglesjar.
		
		[MADELINE right sad]
		Ja, œgi du har vort.

		[MADELINE right normal]
		Fra vor "{>> 0.5}{~}inær land{/~}{>>}" hejer du?
		
		[THEO left excited]
		Neh, jott innspyrig vennet, jo dor hejer{n}fra eta {0.3}{~}maggig,{0.4} urþig{/~}{0.4} køniglandet...
		
		[THEO left normal]
		{0.4} Seattle.

		[MADELINE right normal]
		Det virker besynn utning.

	CH1_THEO_C=
		[THEO left excited]
		Denne utninget yr vill!

		[THEO left normal]
		Fer vor forlatet hœl jørne?
		
		[MADELINE right normal]
		Jo leser nøn megastarfing begynner{n}bygger det, ned inøn sågœ bått denne.

		[MADELINE right distracted]
		Jo lurer fer vor...
		
		[THEO left excited]
		Jott penget yr fer styring dœkking-opp.

		[MADELINE right distracted]
		Så sløsne, fer bygger alle denne fer inøn œfni...

		[THEO left normal]
		Minst vi ka njyter det.

	CH1_THEO_D=
		[MADELINE right normal]
		Uter du denne fer forsjar gœn jørne?
		
		[THEO left normal]
		Ja, jo har þing sud forlatet utninger.
		
		[THEO left thinking]
		Eh jo liker tenker sin {n}tæn œkne fotoenær.
		
		[MADELINE right normal]
		Riktiglig? Kul!
		Har du blogg ur nøn?
		
		[THEO left thinking]
		Blogg?
		{+MADELINE}.
		Alle brykker {# FFFF4C}InstaPix{#} na.
		
		[THEO left excited]
		Jo heter {+THEO_UNDER_STARS}, forsjar fer jo!

	CH1_THEO_E=
		[THEO left normal]
		Denne jørþet yr mykelig blekkig,{n}tar du bak na littid?
		
		[MADELINE right normal]
		Ike. Jo går fer fjelltoppet.
		
		[THEO left excited]
		Jo ka riktlig sjar vœlgesomhet uttro øyene!

		[THEO left normal]
		Det innblaster.

		[MADELINE right distracted]
		Vi du sier det.

		[MADELINE right normal]
		Jo veþje du ka går fjelltoppet eså.

		[THEO left normal]
		Œga. 
		
		[THEO left thinking]
		Jo riktlig ike hyrþer resjer fjelltoppet, TBH.

		[THEO left normal]
		{!}Eh!{/!} Ned jo fraløset yr nøn {~}faktig{/~}{n}gam rœhtlaker opp frem jørna.
		
		[THEO left excited]
		Tæn 1800er faktig. 

		[THEO left normal]
		Jo viter yr vårig, ned jo må sjar det fer sin.

	CH1_THEO_F=
		[THEO left normal]
		Vor yr det þinget mœd sœd sier nurlig nafrem {n}du dor nøn isvarebar?

		[MADELINE right sad]
		Ehhh... "kaster varsel tro loftet?"

		[THEO left wtf]
		Ike, det yr ike et.

		[THEO left excited]
		Ah rikt...

		{trigger 0 Theo pumps his fist in the air}
		
		[THEO left yolo]
		{big}{~}Y{>> 0.5}OLO{>> 0.2}OOOOOOOO!!{>>}{/~}{/big}

	MEMORIAL=
		-- FJELLET CELESTE --
		Denne magglak fer denne
		mœd forfaret na klatringet

	CH1_END=
		[MADELINE left distracted]
		Yghh, yr fulsovnig.

		{trigger 0 MADELINE sits down to rest. A bird swoops in, lands on her head, and goes to sleep}
		
		[MADELINE left deadpan]
		{>> 0.4}Denne œgi ytt feil.

# *** Chapter 02 ***

	CH2_BADELINE_INTRO=
		{anchor top}
		
		[BADELINE left normal]
		{+MADELINE}, kjær, dœstortider sin.

		{trigger 0 Madeline turns around}
		
		[MADELINE right distracted]
		Vor sier?
		
		[BADELINE left normal]
